Year,HRWWorg,HRWWconv,Ncost
2000,5.84,2.50,0.270100847
2000,6.50,2.90,0.272363688
2001,6.54,3.02,0.456048103
2001,6.46,3.07,0.432045571
2001,5.75,3.04,0.384040508
2001,6.22,3.11,0.342036077
2002,5.54,3.07,0.265825704
2002,6.36,3.05,0.277246364
2002,7.15,3.68,0.267794783
2002,7.19,4.18,0.254011228
2003,6.68,3.82,0.415843862
2003,6.72,3.32,0.415843862
2003,6.37,3.26,0.388891019
2003,6.62,3.60,0.385040613
2004,6.46,3.60,0.38255385
2004,6.58,3.72,0.38255385
2004,6.10,3.38,0.38255385
2004,6.18,3.48,0.38255385
2005,6.50,3.42,0.444565171
2005,6.47,3.36,0.466875051
2005,6.15,3.15,0.486246557
2005,6.10,3.46,0.477032395
2006,6.26,3.57,0.451582354
2006,6.09,3.97,0.447716669
2006,6.50,4.15,0.428036815
2006,7.20,4.51,0.393597071
2007,6.93,4.61,0.551835463
2007,7.90,4.88,0.57951266
2007,10.31,5.66,0.574045559
2007,15.90,6.83,0.533042305
2008,18.47,7.42,0.668385423
2008,24.36,8.58,0.697770426
2008,20.15,7.85,0.866248832
2008,17.40,6.43,0.945716673
2009,13.50,5.78,0.532998136
2009,12.00,5.69,0.551491256
2009,9.00,5.02,0.459851242
2009,10.00,4.74,0.427983634
2010,10.63,4.85,0.519847913
2010,10.63,4.39,0.516598864
2010,10.75,4.81,0.501653236
2010,11.38,5.85,0.459740498
2011,11.50,6.16,0.610240904
2011,10.83,7.12,0.600004605
2011,11.33,6.91,0.590870676
2011,12.25,6.67,0.63780017
2012,11.50,6.54,0.61530293
2012,18.57,7.74,0.640297682
2012,19.65,7.97,0.728242183
2012,21.59,8.36,0.884999399
2012,21.95,8.43,0.935760348
2012,22.26,8.49,0.859387492
2012,20.78,8.20,0.714664787
2012,19.89,8.02,0.69892735
2012,18.62,7.75,0.703556008
2012,17.49,7.50,0.680721295
2012,17.44,7.49,0.653412213
2012,17.75,7.56,0.610982849
2013,16.84,7.35,0.604443534
2013,15.59,7.05,0.663747427
2013,15.19,6.95,0.685036005
2013,15.07,6.92,0.661770631
2013,16.41,7.25,0.600642002
2013,15.79,7.10,0.583154956
2013,14.80,6.85,0.536472148
2013,14.30,6.72,0.526892288
2013,14.01,6.64,0.50910112
2013,15.71,7.08,0.487356358
2013,16.12,7.18,0.485075439
2013,17.01,7.39,0.487356358
2014,15.15,6.94,0.531194671
2014,13.18,6.41,0.602917158
2014,11.91,6.03,0.638927823
2014,10.57,5.58,0.639525511
2014,10.30,5.48,0.6305602
2014,10.80,5.66,0.58692902
2014,12.07,6.08,0.532688889
2014,11.66,5.95,0.53194178
2014,10.46,5.54,0.53194178
2014,10.03,5.38,0.515505377
2014,9.98,5.36,0.484126788
2014,9.28,5.08,0.484126788
2015,9.72,5.26,0.503220109
2015,9.59,5.21,0.524293478
2015,8.13,4.55,0.509347826
2015,7.76,4.35,0.506059783
2015,7.96,4.46,0.496195652
2015,7.68,4.30,0.472282609
2015,7.75,4.34,0.472282609
2015,7.80,4.37,0.466304348
2015,7.54,4.22,0.466304348
2016,6.97,3.84,0.34
2016,6.39,3.32,0.34
